minute,red_triage_time,red_idle_time,red_transport_time,red_walking_time,red_functional_delay,green_idle_time,green_transport_time,green_walking_time,green_functional_delay,blue_hammer_time,blue_idle_time,blue_transport_time,blue_walking_time,blue_functional_delay,concurrent_activity_time,concurrent_idle_time,red_score,green_score,blue_score,total_score,saved_type_A_victim,saved_type_B_victim,saved_type_C_victim,Trial_number,Team_number
0,0,60000,0,0,0,52587,0,7413,0,0,60000,0,0,0,0,52587,0,0,0,0,0,0,0,T000754,TM000277
1,0,60000,0,0,0,58406,0,1594,0,0,60000,0,0,0,0,58406,0,0,0,0,0,0,0,T000754,TM000277
2,3001,17828,2853,36318,0,8669,17349,33982,0,1753,5256,0,52991,0,29085,2358,0,0,0,0,0,0,0,T000754,TM000277
3,3001,9874,698,46427,0,8452,21914,29634,0,5295,7995,0,46710,0,29481,509,0,20,0,20,1,1,0,T000754,TM000277
4,6047,16550,201,37202,0,11770,13602,34628,0,11407,10694,0,37899,0,17978,2664,0,0,0,0,0,0,0,T000754,TM000277
5,9097,11821,4201,34881,0,7783,25812,26405,0,3553,23675,9954,22818,0,14763,2695,0,20,0,20,1,1,0,T000754,TM000277
6,0,8514,16203,35283,0,14978,15752,29270,0,2650,2365,24849,30136,0,34585,409,0,50,50,100,0,0,2,T000754,TM000277
7,3001,8104,6653,42242,0,8767,0,51233,0,4401,17359,0,38240,0,28048,917,50,0,0,50,0,0,1,T000754,TM000277
8,0,13286,9351,37363,4346,17588,0,42412,0,2549,15250,9351,32850,0,20126,1,0,0,0,0,0,0,0,T000754,TM000277
9,5997,9382,18443,26178,4446,8832,0,51168,0,0,13950,5558,40492,0,30016,203,0,0,0,0,0,0,0,T000754,TM000277
10,0,20705,0,39295,36230,3881,23007,33112,0,1750,3356,0,54894,0,32659,408,0,100,0,100,0,0,2,T000754,TM000277
11,7650,22709,15300,14341,28346,1892,31554,26554,0,4351,13367,14850,27432,0,15362,2044,0,10,0,10,1,0,0,T000754,TM000277
12,0,23702,12503,23795,0,0,60000,0,0,0,22805,19603,17592,0,13860,6168,10,0,50,60,0,1,1,T000754,TM000277
13,5999,15624,18501,19876,0,4190,46299,9511,0,2701,11049,0,46250,0,11063,4306,0,0,0,0,0,0,0,T000754,TM000277
14,6001,6250,10502,37247,0,8003,26016,25981,0,3498,17474,0,39028,0,23346,3640,0,60,0,60,0,1,1,T000754,TM000277
15,0,1664,53452,4884,0,407,58899,694,0,851,18956,4351,35842,0,3076,8087,10,50,0,60,1,0,1,T000754,TM000277
16,6049,5206,2051,46694,0,7013,9002,43985,0,0,9843,0,50157,0,37247,102,0,10,0,10,1,0,0,T000754,TM000277
0,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000738,TM000269
1,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000738,TM000269
2,0,18147,0,41853,297,10015,0,49985,0,2441,8485,0,49074,0,35851,3268,0,0,0,0,0,0,0,T000738,TM000269
3,9000,25642,0,25358,11116,9516,15544,34940,0,1315,24970,0,33715,0,14710,3689,0,50,0,50,0,0,1,T000738,TM000269
4,2997,10149,0,46854,0,492,27319,32189,0,7945,2187,0,49868,0,39177,0,0,100,0,100,0,0,2,T000738,TM000269
5,8434,22223,3251,26092,15992,8521,36587,14892,0,2050,7404,2584,47962,0,21816,1528,0,0,0,0,0,0,0,T000738,TM000269
6,6566,20099,3784,29551,24933,2784,16172,41044,0,3548,17611,15169,23672,0,20524,102,0,60,0,60,1,0,1,T000738,TM000269
7,0,10203,4668,45129,0,7999,15404,36597,0,1751,12750,7204,38295,0,31678,916,0,50,10,60,0,1,1,T000738,TM000269
8,6050,11440,22453,20057,0,28900,0,31100,0,998,1480,11552,45970,0,22825,727,0,0,10,10,0,1,0,T000738,TM000269
9,6000,7800,19084,27116,20060,8684,16503,34813,0,7048,2646,0,50306,0,35480,918,0,50,0,50,0,0,1,T000738,TM000269
10,0,9309,13918,36773,0,7160,7334,45506,0,2603,-856,0,58253,0,42294,0,10,0,0,10,1,0,0,T000738,TM000269
11,6001,13383,3101,37515,0,3175,8417,48408,0,1299,6053,18188,34460,0,34274,102,0,0,0,0,0,1,0,T000738,TM000269
12,6052,4696,33538,15714,0,2667,20288,37045,0,2586,11191,17,46206,0,41493,1323,10,20,0,30,2,1,0,T000738,TM000269
13,6050,14190,6369,33391,0,7446,20870,31684,0,5612,13977,0,40411,0,27192,3866,10,60,0,70,1,1,1,T000738,TM000269
14,3000,21228,0,35772,15039,4303,18803,36894,0,0,12734,0,47266,0,29118,513,0,60,0,60,1,0,1,T000738,TM000269
15,6049,14850,14902,24199,0,102,10954,48944,0,3550,8119,0,48331,0,27347,0,0,20,0,20,1,1,0,T000738,TM000269
16,5999,5436,20351,28214,6926,1323,27705,30972,0,1799,3305,0,54896,0,44294,0,10,50,0,60,1,0,1,T000738,TM000269
0,0,57112,0,2888,0,60000,0,0,0,0,60000,0,0,0,0,57112,0,0,0,0,0,0,0,T000692,TM000246
1,0,60000,0,0,0,59383,0,617,0,0,60000,0,0,0,0,59383,0,0,0,0,0,0,0,T000692,TM000246
2,5999,5009,0,48992,0,11074,0,48926,0,1804,3922,0,54274,0,40981,3570,0,0,0,0,0,0,0,T000692,TM000246
3,15247,12763,0,31990,5319,3147,27571,29282,0,9103,347,0,50550,0,23584,0,0,20,0,20,1,1,0,T000692,TM000246
4,2951,2217,0,54832,0,5969,22769,31262,0,6295,9579,0,44126,0,33307,203,0,0,0,0,1,0,0,T000692,TM000246
5,6049,9012,10457,34482,11462,1025,28354,30621,0,9145,7101,0,43754,0,36028,720,50,20,0,70,0,1,1,T000692,TM000246
6,6250,5127,6701,41922,0,1637,22392,35971,0,3497,1320,0,55183,0,44415,306,0,110,0,110,0,1,2,T000692,TM000246
7,0,9449,0,50551,0,0,37306,22694,0,16609,6023,0,37368,0,29832,204,0,100,0,100,0,0,2,T000692,TM000246
8,6452,13290,0,40258,2630,1954,22497,35549,0,5100,10377,0,44523,0,26187,2,0,20,0,20,1,1,0,T000692,TM000246
9,6002,3125,0,50873,0,3803,26721,29476,0,9749,-4330,0,54581,0,35492,1029,0,50,0,50,0,0,1,T000692,TM000246
10,3100,8987,0,47913,759,1123,46561,12316,0,850,1037,0,58113,0,22236,0,0,0,0,0,1,0,0,T000692,TM000246
11,6150,11873,0,41977,0,9016,5546,45438,0,8343,-610,0,52267,0,34127,1239,0,50,0,50,0,0,1,T000692,TM000246
12,12051,14310,0,33639,3780,9099,26920,23981,0,9550,901,0,49549,0,23047,2254,0,50,0,50,0,0,1,T000692,TM000246
13,6400,17279,0,36321,6042,2968,11384,45648,0,952,15202,0,43846,0,30292,917,0,50,0,50,0,0,1,T000692,TM000246
14,3000,10211,0,46789,0,2773,30622,26605,0,6298,2291,0,51411,0,25547,108,0,50,0,50,0,0,1,T000692,TM000246
15,6148,1910,11202,40740,0,511,23088,36401,0,896,-173,22802,36475,0,45225,103,10,10,10,30,2,1,1,T000692,TM000246
16,4668,916,0,54416,23185,8859,0,51141,0,1701,-784,0,59083,0,46268,0,0,0,0,0,0,0,0,T000692,TM000246
0,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000854,TM000327
1,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000854,TM000327
2,0,21328,0,38672,24006,22242,0,37758,0,2766,7825,0,49409,0,29369,6299,0,0,0,0,0,0,0,T000854,TM000327
3,6049,27651,950,25350,7432,23588,17462,18950,0,5083,12488,15403,27026,0,10389,8283,0,10,0,10,0,1,1,T000854,TM000327
4,0,21616,10704,27680,23,37838,1201,20961,0,4400,5384,0,50216,0,12280,2141,50,0,0,50,0,0,0,T000854,TM000327
5,9049,7802,22754,20395,11231,31563,23969,4468,0,4250,16651,0,39099,0,13887,6949,50,0,0,50,0,0,1,T000854,TM000327
6,3002,2103,23304,31591,0,18613,28835,12552,0,0,25294,22970,11736,0,14155,1941,50,0,0,50,0,0,2,T000854,TM000327
7,3000,4445,10753,41802,0,19843,12751,27406,0,0,5705,12435,41860,0,33226,0,10,10,50,70,1,1,0,T000854,TM000327
8,0,15324,0,44676,17530,23872,15900,20228,0,8951,5207,0,45842,0,15284,2039,0,0,0,0,0,0,0,T000854,TM000327
9,0,37333,0,22667,60000,13470,13750,32780,0,4450,2069,0,53481,0,16345,2547,0,0,0,0,0,0,0,T000854,TM000327
10,12450,7263,21261,19026,1431,37754,14353,7893,0,2699,27515,8068,21718,0,9501,12780,60,10,0,70,1,1,1,T000854,TM000327
11,0,34667,0,25333,0,47812,0,12188,0,0,813,55484,3703,0,9745,715,0,0,0,0,0,1,0,T000854,TM000327
12,6050,11578,7818,34554,4547,24935,0,35065,0,1651,10375,10820,37154,0,18761,1629,0,0,10,10,0,0,0,T000854,TM000327
13,0,1222,30984,27794,0,14916,10220,34864,0,2749,2978,22586,31687,0,28720,1838,50,0,10,60,0,1,1,T000854,TM000327
14,6000,4315,1101,48584,0,12353,25487,22160,0,3454,17607,0,38939,0,14390,0,0,0,0,0,0,0,0,T000854,TM000327
15,3001,11233,29270,16496,12959,19692,0,40308,0,4400,18109,0,37491,0,18101,3051,10,0,0,10,1,0,0,T000854,TM000327
16,0,8878,10788,40334,0,27152,11701,21147,0,1748,18226,0,40026,0,15315,512,60,0,0,60,0,1,1,T000854,TM000327
0,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000631,TM000216
1,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000631,TM000216
2,0,8322,0,51678,0,14761,0,45239,0,0,15928,0,44072,0,32015,4243,0,0,0,0,0,0,0,T000631,TM000216
3,6001,13413,0,40586,30046,15580,21264,23156,0,3504,18083,0,38413,0,20142,626,0,50,0,50,0,0,1,T000631,TM000216
4,3050,8416,21301,27233,4322,2426,31855,25719,0,1350,42144,0,16506,0,12934,1064,0,60,0,60,0,1,1,T000631,TM000216
5,3001,7481,0,49518,137,25792,6827,27381,0,4448,29903,0,25649,0,13024,4187,0,0,0,0,0,0,0,T000631,TM000216
6,3001,10614,16700,29685,8471,104,54881,5015,0,850,48530,0,10620,0,4550,10316,0,60,0,60,0,1,1,T000631,TM000216
7,6001,34947,1602,17450,0,6997,15154,37849,0,1099,40089,0,18812,0,4383,4399,0,50,0,50,0,0,1,T000631,TM000216
8,3000,3230,6948,46822,0,1575,31602,26823,0,850,41627,0,17523,0,15702,2256,0,100,0,100,0,0,2,T000631,TM000216
9,0,9101,0,50899,0,16146,0,43854,0,0,43740,0,16260,0,11240,1770,0,0,0,0,0,0,0,T000631,TM000216
10,2999,3504,0,53497,0,34968,3854,21178,0,0,43554,0,16446,0,7036,2042,0,0,0,0,0,0,0,T000631,TM000216
11,3000,16132,9653,31215,0,12678,33478,13844,0,2649,39869,0,17482,0,14671,9147,10,0,0,10,1,0,0,T000631,TM000216
12,6000,9072,14053,30875,0,5681,30975,23344,0,4302,46241,0,9457,0,5622,5396,10,10,0,20,1,1,0,T000631,TM000216
13,1128,18235,0,40637,3998,13774,0,46226,0,2502,47480,0,10018,0,6656,4759,0,0,0,0,0,0,0,T000631,TM000216
14,1872,24558,5652,27918,60000,14209,0,45791,0,3700,46836,0,9464,0,4257,5249,0,0,0,0,0,0,0,T000631,TM000216
15,2999,11368,10101,35532,18072,18857,17602,23541,0,0,30404,0,29596,0,17746,6360,0,10,0,10,0,1,0,T000631,TM000216
16,0,4800,40105,15095,0,5129,42302,12569,0,5899,28838,0,25263,0,15911,3652,50,50,0,100,0,0,2,T000631,TM000216
0,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000804,TM000302
1,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000804,TM000302
2,0,18170,0,41830,0,8661,0,51339,0,6219,11585,0,42196,0,31468,5398,0,0,0,0,0,0,0,T000804,TM000302
3,5999,12373,22804,18824,0,7061,2613,50326,0,4890,17363,0,37747,0,19023,714,50,10,0,60,0,1,1,T000804,TM000302
4,3000,3039,15256,38705,0,5455,3450,51095,0,1751,17824,0,40425,0,34563,102,50,0,0,50,0,0,1,T000804,TM000302
5,9000,14155,3465,33380,0,24325,1750,33925,0,6001,5276,0,48723,0,21759,2992,0,0,0,0,0,0,0,T000804,TM000302
6,5999,15352,23587,15062,0,72,34867,25061,0,6251,31224,0,22525,0,11288,72,0,50,0,50,0,0,3,T000804,TM000302
7,0,6535,11003,42462,0,3155,38639,18206,0,1749,9791,0,48460,0,41518,512,10,100,0,110,0,1,0,T000804,TM000302
8,0,8314,0,51686,0,2769,12100,45131,0,8703,18448,0,32849,0,27933,103,0,0,0,0,0,0,0,T000804,TM000302
9,2999,41164,0,15837,59095,820,0,59180,0,2650,10305,0,47045,0,9205,203,0,0,0,0,0,0,0,T000804,TM000302
10,3051,36681,15665,4603,40584,1849,12415,45736,0,4303,14600,0,41097,0,13294,511,0,0,0,0,0,0,0,T000804,TM000302
11,9000,10993,14340,25667,0,104,23482,36414,0,850,7270,13201,38679,0,31390,0,60,10,0,70,1,1,1,T000804,TM000302
12,0,15850,10950,33200,0,1324,21356,37320,0,2650,9101,0,48249,0,28587,0,0,10,0,10,2,0,0,T000804,TM000302
13,5951,21003,0,33046,0,102,26455,33443,0,9000,12757,0,38243,0,25056,0,0,20,0,20,1,0,0,T000804,TM000302
14,5998,24482,12017,17503,6171,921,22655,36424,0,0,23269,0,36731,0,21899,815,0,50,0,50,0,0,1,T000804,TM000302
15,0,4363,19839,35798,0,1938,13854,44208,0,1750,14471,6801,36978,0,38269,206,10,10,0,20,0,2,0,T000804,TM000302
16,2999,13980,0,43021,0,8893,20518,30589,0,2702,7999,0,49299,0,34071,1325,0,10,0,10,1,0,0,T000804,TM000302
0,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000836,TM000318
1,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000836,TM000318
2,2950,25074,0,31976,30676,15190,0,44810,0,4056,6009,0,49935,0,25628,4043,0,0,0,0,0,0,0,T000836,TM000318
3,3000,12088,28562,16350,4876,20916,3888,35196,0,4349,7608,9322,38721,0,18439,1632,50,0,0,50,0,0,1,T000836,TM000318
4,5950,24089,6301,23660,0,10471,10728,38801,0,799,11396,8178,39627,0,18064,1225,0,10,0,10,0,1,0,T000836,TM000318
5,6002,13132,23353,17513,0,6862,10334,42804,0,4023,8171,7051,40755,0,23948,203,50,30,0,80,2,1,1,T000836,TM000318
6,12101,16373,6251,25275,0,8403,8124,43473,0,4975,6790,0,48235,0,23129,1328,0,0,0,0,0,0,0,T000836,TM000318
7,6002,13682,21303,19013,0,1652,33534,24814,0,2501,3754,0,53745,0,33986,0,50,110,0,160,1,0,3,T000836,TM000318
8,0,11376,24552,24072,0,19227,1725,39048,0,2650,867,13152,43331,0,25945,211,10,0,10,20,1,1,0,T000836,TM000318
9,9000,23112,0,27888,0,4296,34104,21600,0,2725,548,0,56727,0,22725,921,0,10,0,10,1,0,0,T000836,TM000318
10,3099,14535,17052,25314,0,4094,15781,40125,0,1777,12004,1301,44918,0,26947,103,50,20,0,70,1,1,1,T000836,TM000318
11,6001,13758,5523,34718,0,16704,2401,40895,0,6698,2932,7673,42697,0,24857,920,0,0,0,0,0,0,0,T000836,TM000318
12,3000,16009,9129,31862,0,8958,11775,39267,0,0,510,26679,32811,0,34191,0,10,0,10,20,1,1,0,T000836,TM000318
13,8999,17740,15975,17286,0,8598,24704,26698,0,2651,15651,0,41698,0,15873,2354,10,10,0,20,1,1,0,T000836,TM000318
14,6001,15011,12079,26909,4550,15286,12305,32409,0,2699,3474,0,53827,0,23693,309,10,60,0,70,0,2,1,T000836,TM000318
15,6000,19145,2674,32181,13012,7778,24002,28220,0,1749,13581,0,44670,0,25597,4320,0,50,0,50,0,0,1,T000836,TM000318
16,3000,14379,13230,29391,0,306,23534,36160,0,3499,11792,0,44709,0,30290,0,0,110,0,110,1,0,2,T000836,TM000318
0,0,39694,0,20306,0,60000,0,0,0,0,60000,0,0,0,0,39694,0,0,0,0,0,0,0,T000818,TM000309
1,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000818,TM000309
2,2999,11698,0,45303,13685,17189,0,42811,0,3398,11428,0,45174,0,33811,5396,0,0,0,0,0,0,0,T000818,TM000309
3,12049,2162,0,45789,0,7555,0,52445,0,3551,3112,0,53337,0,36083,101,0,0,0,0,0,0,0,T000818,TM000309
4,3000,11819,0,45181,13474,5174,30218,24608,0,3750,2097,0,54153,0,36478,0,0,50,0,50,0,0,1,T000818,TM000309
5,6049,8308,8468,37175,16141,7643,27026,25331,0,6300,4491,4554,44655,0,28541,0,0,50,0,50,0,0,1,T000818,TM000309
6,6050,1915,18435,33600,0,612,36988,22400,0,3799,2125,14851,39225,0,41320,0,0,60,0,60,1,0,1,T000818,TM000309
7,0,2361,17503,40136,0,5017,31372,23611,0,0,1736,0,58264,0,39323,0,0,10,0,10,1,0,0,T000818,TM000309
8,0,5754,0,54246,0,5744,31842,22414,0,5298,-2104,0,56806,0,38471,1,0,110,0,110,0,1,2,T000818,TM000309
9,6050,6020,19719,28211,15796,15129,0,44871,0,4649,5159,11203,38989,0,28107,0,0,0,10,10,1,0,0,T000818,TM000309
10,0,11254,28352,20394,0,30452,0,29548,0,1749,-627,0,58878,0,18275,0,0,0,0,0,0,0,0,T000818,TM000309
11,0,719,23432,35849,0,12697,0,47303,0,850,-336,4552,54934,0,42821,410,0,0,10,10,0,1,0,T000818,TM000309
12,5998,1624,13371,39007,0,22272,0,37728,0,1750,-322,0,58572,0,30009,0,0,0,0,0,0,0,0,T000818,TM000309
13,6001,5392,17704,30903,8320,22498,4001,33501,0,3497,4302,10503,41698,0,25672,713,10,0,0,10,0,1,0,T000818,TM000309
14,3001,6300,16833,33866,7861,6117,29974,23909,0,1751,10232,0,48017,0,38409,1840,0,60,0,60,2,0,1,T000818,TM000309
15,8999,5366,16121,29514,11008,7374,26586,26040,0,1049,5960,0,52991,0,35078,514,10,100,0,110,0,1,2,T000818,TM000309
16,6001,5766,17583,30650,12323,9025,4652,46323,0,1949,7390,17453,33208,0,34904,2149,0,10,10,20,0,2,0,T000818,TM000309
0,0,58360,0,1640,0,60000,0,0,0,0,60000,0,0,0,0,58360,0,0,0,0,0,0,0,T000751,TM000276
1,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000751,TM000276
2,0,10583,0,49417,0,20961,0,39039,0,8345,6144,0,45511,0,30478,4787,0,0,0,0,0,0,0,T000751,TM000276
3,7873,7360,10219,34548,12927,11993,16197,31810,0,4320,8900,0,46780,0,31578,2604,10,10,0,20,1,1,0,T000751,TM000276
4,4126,3094,30556,22224,8630,6002,29370,24628,0,7382,4830,0,47788,0,25715,773,10,0,0,10,1,0,0,T000751,TM000276
5,8100,5427,6706,39767,5451,7061,29633,23306,0,16100,9344,0,34556,0,23884,511,10,100,0,110,1,0,2,T000751,TM000276
6,5899,10665,15743,27693,0,20174,0,39826,0,9857,4912,0,45231,0,27115,4189,10,0,0,10,1,0,0,T000751,TM000276
7,0,7059,0,52941,0,30596,2821,26583,0,10701,6009,0,43290,0,21932,5015,0,0,0,0,0,0,0,T000751,TM000276
8,5999,7921,15955,30125,28955,10775,8631,40594,0,7052,10687,5599,36662,0,26288,718,50,10,0,60,0,1,1,T000751,TM000276
9,2999,2301,34857,19843,0,15098,0,44902,0,12652,2283,6202,38863,0,29243,305,50,0,10,60,0,1,1,T000751,TM000276
10,2999,15808,0,41193,27436,15277,10872,33851,0,7152,8903,0,43945,0,24984,306,0,0,0,0,0,0,0,T000751,TM000276
11,6051,6907,0,47042,0,15183,5882,38935,0,8176,5810,0,46014,0,30435,2463,0,50,0,50,0,0,1,T000751,TM000276
12,5951,13014,25556,15479,4424,42471,0,17529,0,17777,14911,0,27312,0,9526,8572,10,0,0,10,0,1,0,T000751,TM000276
13,2994,32168,1851,22987,49797,13582,5103,41315,0,2650,8707,0,48643,0,13603,2140,0,50,0,50,0,0,1,T000751,TM000276
14,3000,3231,15354,38415,4678,14123,0,45877,0,5351,7504,0,47145,0,32930,105,60,0,0,60,0,1,1,T000751,TM000276
15,9052,10871,13504,26573,8156,6476,13153,40371,0,11398,9786,0,38816,0,25789,1139,10,10,0,20,1,1,0,T000751,TM000276
16,6002,3199,9953,40846,12035,2446,21207,36347,0,13468,7209,0,39323,0,32982,102,10,100,0,110,1,0,2,T000751,TM000276
0,0,42287,0,17713,0,59284,0,716,0,0,59077,0,923,0,0,41980,0,0,0,0,0,0,0,T000849,TM000325
1,0,15636,0,44364,0,47612,0,12388,0,0,53423,0,6577,0,2203,15636,0,0,0,0,0,0,0,T000849,TM000325
2,0,7721,0,52279,0,8389,0,51611,0,0,31320,0,28680,0,18057,0,0,0,0,0,0,0,0,T000849,TM000325
3,5999,11849,10657,31495,0,24840,0,35160,0,7915,20518,0,31567,0,14341,5128,10,0,0,10,1,0,0,T000849,TM000325
4,3001,10872,20853,25274,35716,12624,19503,27873,0,2700,6653,0,50647,0,22488,105,0,10,0,10,0,1,0,T000849,TM000325
5,3000,23776,15680,17544,36421,35262,11078,13660,0,6175,9238,0,44587,0,8380,5514,0,0,0,0,0,0,0,T000849,TM000325
6,0,7807,3780,48413,0,13720,24626,21654,0,971,13500,0,45529,0,32369,2893,10,50,0,60,1,0,1,T000849,TM000325
7,5999,9771,18234,25996,9676,56488,0,3512,0,2899,6298,20595,30208,0,2043,3364,50,0,0,50,0,0,1,T000849,TM000325
8,2998,4949,24780,27273,0,59222,0,778,0,3451,8645,0,47904,0,428,715,20,0,0,20,1,1,0,T000849,TM000325
9,3000,9041,4654,43305,9271,15313,6379,38308,0,1748,6272,0,51980,0,32049,2445,0,0,0,0,0,0,0,T000849,TM000325
10,0,5221,0,54779,0,12415,32972,14613,0,14925,9622,0,35453,0,21786,0,0,0,0,0,0,0,0,T000849,TM000325
11,9099,5673,36997,8231,0,19799,15631,24570,0,9977,21659,0,28364,0,8367,1431,0,0,0,0,0,0,1,T000849,TM000325
12,0,8935,0,51065,0,27701,23351,8948,0,11352,11982,0,36666,0,10672,926,0,0,0,0,0,0,0,T000849,TM000325
13,2998,36478,0,20524,0,15793,11175,33032,0,18052,6655,0,35293,0,7606,7968,0,150,0,150,0,0,2,T000849,TM000325
14,0,20168,6608,33224,0,45938,0,14062,0,3802,7623,11904,36671,0,4733,3374,10,0,0,10,1,0,0,T000849,TM000325
15,5999,6898,25907,21196,0,50971,0,9029,0,1801,5861,10248,42090,0,2447,2244,10,0,0,10,1,0,0,T000849,TM000325
16,3000,20120,1753,35127,0,27823,22278,9899,0,850,988,37055,21107,0,8126,815,0,0,10,10,0,1,0,T000849,TM000325
0,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000776,TM000288
1,0,60000,0,0,0,59170,0,830,0,0,60000,0,0,0,0,59170,0,0,0,0,0,0,0,T000776,TM000288
2,5619,9377,0,45004,25411,15903,0,44097,0,5201,15156,0,39643,0,30326,5362,0,0,0,0,0,0,0,T000776,TM000288
3,392,4860,33810,20938,52364,21731,0,38269,0,1768,8032,0,50200,0,19492,408,50,0,0,50,0,0,1,T000776,TM000288
4,6001,12938,0,41061,69543,28353,9600,22047,0,1732,24480,0,33788,0,6384,1434,0,0,0,0,0,0,0,T000776,TM000288
5,0,6892,16911,36197,0,23710,12453,23837,0,1710,15707,0,42583,0,22589,3471,0,10,0,10,1,0,0,T000776,TM000288
6,9469,16767,5696,28068,5126,12426,11707,35867,0,2651,6376,18062,32911,0,20218,1439,0,60,10,70,1,1,1,T000776,TM000288
7,11881,13640,3451,31028,24183,3611,38071,18318,0,855,26693,15388,17064,0,21077,5469,0,50,0,50,0,0,1,T000776,TM000288
8,0,7675,0,52325,0,10249,28193,21558,0,0,6320,0,53680,0,26334,103,0,10,0,10,0,1,0,T000776,TM000288
9,5951,9377,0,44672,0,14240,28857,16903,0,850,18729,0,40421,0,27606,4685,0,50,0,50,0,0,1,T000776,TM000288
10,5950,6771,22807,24472,9096,6252,34147,19601,0,2551,12124,0,45325,0,29899,4731,50,70,0,120,2,0,2,T000776,TM000288
11,0,2143,9004,48853,0,6660,18070,35270,0,2599,11132,0,46269,0,37665,102,10,50,0,60,0,1,1,T000776,TM000288
12,6049,3491,915,49545,0,13303,20499,26198,0,0,4307,18360,37333,0,34461,1021,0,10,0,10,0,1,0,T000776,TM000288
13,0,2339,13488,44173,0,39944,0,20056,0,1050,7865,0,51085,0,15451,409,10,0,0,10,1,0,0,T000776,TM000288
14,8949,3286,19868,27897,6416,23562,0,36438,0,1698,5448,20545,32309,0,25570,1022,0,0,10,10,1,0,0,T000776,TM000288
15,0,4654,2638,52708,0,9093,8804,42103,0,0,2292,0,57708,0,43894,0,50,50,0,100,0,0,2,T000776,TM000288
16,2998,4285,0,52717,5832,7802,23602,28596,0,0,2080,0,57920,0,44482,0,0,50,0,50,0,0,1,T000776,TM000288
0,0,60000,0,0,0,60000,0,0,0,0,44349,0,15651,0,0,44349,0,0,0,0,0,0,0,T000653,TM000227
1,0,60000,0,0,0,60000,0,0,0,0,55900,0,4100,0,0,55900,0,0,0,0,0,0,0,T000653,TM000227
2,4820,18443,1002,35735,0,10089,13018,36893,0,2654,9453,4718,43175,0,27834,4953,0,0,0,0,0,0,0,T000653,TM000227
3,7180,5249,25872,21699,0,24417,14649,20934,0,1701,10174,24562,23563,0,13602,219,10,0,10,20,1,1,0,T000653,TM000227
4,12004,12429,10548,25019,0,5344,13936,40720,0,2594,5447,12552,39407,0,27900,101,60,10,10,80,1,2,1,T000653,TM000227
5,0,4659,27904,27437,0,18418,0,41582,0,1101,5931,14737,38231,0,32940,208,10,0,50,60,0,1,1,T000653,TM000227
6,6001,14939,12301,26759,0,5186,0,54814,0,1002,10799,22351,25848,0,29091,341,10,0,50,60,1,0,1,T000653,TM000227
7,11999,13753,6703,27545,0,5480,27926,26594,0,1749,10341,10248,37662,0,26526,103,0,100,0,100,0,0,2,T000653,TM000227
8,6000,6407,17354,30239,0,4421,21503,34076,0,1751,1431,7653,49165,0,40298,0,50,50,0,100,0,0,2,T000653,TM000227
9,6002,3795,35906,14297,0,425,25767,33808,0,0,10422,25953,23625,0,38460,0,10,20,0,30,1,2,0,T000653,TM000227
10,0,16222,0,43778,0,6019,22291,31690,0,13764,-2110,0,48346,0,30055,3767,0,50,0,50,0,0,1,T000653,TM000227
11,3001,2573,38102,16324,0,10981,11620,37399,0,8876,3019,0,48105,0,33814,2119,0,0,0,0,0,0,0,T000653,TM000227
12,11993,9597,9867,28543,0,10910,25901,23189,0,4282,5388,25517,24813,0,26290,1576,0,0,0,0,0,0,0,T000653,TM000227
13,0,13997,12893,33110,0,2743,35440,21817,0,6199,5296,3994,44511,0,34522,754,110,10,10,130,2,1,2,T000653,TM000227
14,6000,6471,13660,33869,0,5661,0,54339,0,849,5465,11203,42483,0,37877,219,10,0,50,60,0,1,1,T000653,TM000227
15,3001,4406,0,52593,0,5919,7650,46431,0,2602,18283,0,39115,0,33013,735,0,50,0,50,0,0,1,T000653,TM000227
16,6000,13225,0,40775,0,12030,0,47970,0,4450,4592,0,50958,0,29877,1987,0,0,0,0,0,0,0,T000653,TM000227
0,0,60000,0,0,0,60000,0,0,0,0,60000,0,0,0,0,60000,0,0,0,0,0,0,0,T000793,TM000297
